GTM Type,Board Size,Game State,Train Dataset,Test Dataset,Log Folder,#Examples,Epochs,#Clauses,T,s,Train Accuracy,Test Accuracy,Train Time,Test Time,Total Time
Multi,3,0,./data/self/train-self-3-50000-0-0-2024-12-19-130926.json,./data/self/train-self-3-50000-0-0-2024-12-19-130926.json,./log/train/train-2024-12-1913:30:37.786824,15000,5,150,300,1.5,96.12666666666667,96.2,9.870923519134521,0.12507176399230957,64.52180457115173
Multi,3,0,./data/self/train-self-3-50000-0-0-2024-12-19-130926.json,./data/self/train-self-3-50000-0-0-2024-12-19-130926.json,./log/train/train-2024-12-1913:33:54.776532,15000,5,1000,300,1.5,81.16,80.0,10.694973468780518,0.13087105751037598,69.8919620513916
Multi,3,0,./data/self/train-self-3-50000-0-0-2024-12-19-130926.json,./data/self/train-self-3-50000-0-0-2024-12-19-130926.json,./log/train/train-2024-12-1913:37:44.018619,15000,10,1000,300,1.5,79.60000000000001,78.8,10.25380802154541,0.12291264533996582,132.00421786308289
Multi,3,0,./data/self/train-self-3-50000-0-0-2024-12-19-130926.json,./data/self/train-self-3-50000-0-0-2024-12-19-130926.json,./log/train/train-2024-12-1913:40:53.316892,15000,10,1000,100,1.5,77.84,80.2,10.529667854309082,0.12720775604248047,134.14166283607483
Multi,3,0,./data/self/train-self-3-50000-0-0-2024-12-19-130926.json,./data/self/train-self-3-50000-0-0-2024-12-19-130926.json,./log/train/train-2024-12-1913:43:31.979129,15000,5,1000,200,1.5,86.88,87.6,11.488909006118774,0.12331271171569824,67.08573269844055
Multi,3,0,./data/self/train-self-3-50000-0-0-2024-12-19-130926.json,./data/self/train-self-3-50000-0-0-2024-12-19-130926.json,./log/train/train-2024-12-1913:45:22.302045,15000,10,1000,250,1.5,83.17333333333333,82.39999999999999,12.01973271369934,0.1342768669128418,145.67595839500427
Multi,3,0,./data/self/train-self-3-50000-0-0-2024-12-19-130926.json,./data/self/train-self-3-50000-0-0-2024-12-19-130926.json,./log/train/train-2024-12-1913:48:23.481562,15000,10,1000,250,3.0,78.67333333333333,78.8,11.22950553894043,0.13698959350585938,145.87484884262085
Multi,3,0,./data/self/train-self-3-50000-0-0-2024-12-19-130926.json,./data/self/train-self-3-50000-0-0-2024-12-19-130926.json,./log/train/train-2024-12-1913:52:28.964632,15000,10,1000,10,3.0,64.54666666666667,64.4,11.433629035949707,0.12446331977844238,132.74775671958923
Multi,3,0,./data/self/train-self-3-50000-0-0-2024-12-19-130926.json,./data/self/train-self-3-50000-0-0-2024-12-19-130926.json,./log/train/train-2024-12-1913:56:57.847492,15000,10,1000,100,3.0,73.52,73.6,10.43747091293335,0.1277143955230713,135.82774591445923
Multi,3,0,./data/self/train-self-3-50000-0-0-2024-12-19-130926.json,./data/self/train-self-3-50000-0-0-2024-12-19-130926.json,./log/train/train-2024-12-1913:59:58.508245,15000,10,1000,150,3.0,64.66666666666666,65.0,11.641476392745972,0.12442779541015625,135.0014431476593
